               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11973,            0.076188,                   0,                0.01,             0.28571,           0.0083812,           0.0020262,             0.12334,            0.056242,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.11859,             0.06446,                   0,            0.014167,             0.40476,            0.011713,           0.0025142,             0.12152,            0.058473,                   0,            0.095499,          0.00049917,          0.00049917
                   2,             0.12008,            0.068138,                   0,            0.014167,             0.40476,            0.012917,           0.0030071,              0.1193,            0.061103,                   0,            0.092797,          0.00079736,          0.00079736
                   3,             0.11675,            0.084144,                   0,            0.013333,             0.38095,            0.013981,           0.0033738,             0.11623,            0.064559,                   0,            0.090095,           0.0010946,           0.0010946
                   4,             0.11153,            0.054361,                   0,            0.013333,             0.38095,            0.023938,            0.004414,             0.11257,            0.068607,                   0,            0.087391,           0.0013908,           0.0013908
                   5,             0.11233,            0.073257,                   0,            0.022465,             0.52381,            0.040429,            0.008306,             0.10899,            0.072295,                   0,            0.084686,            0.001686,            0.001686
                   6,             0.11202,            0.069912,                   0,             0.12488,             0.21429,            0.083121,            0.014201,             0.10421,            0.076111,                   0,             0.08198,           0.0019802,           0.0019802
                   7,             0.10823,            0.077879,                   0,              0.1901,             0.16667,             0.12477,            0.019337,             0.10091,             0.07802,                   0,            0.079273,           0.0022734,           0.0022734
                   8,             0.10585,            0.070916,                   0,             0.17147,              0.2381,             0.13305,            0.025939,            0.096253,            0.079245,                   0,            0.076566,           0.0025657,           0.0025657
                   9,             0.10118,            0.068498,                   0,             0.25075,             0.28571,             0.21408,            0.046553,            0.094183,            0.080031,                   0,            0.073857,           0.0028569,           0.0028569
                  10,            0.098537,            0.087415,                   0,             0.42257,             0.31375,             0.27977,            0.067708,            0.090132,             0.08827,                   0,            0.071147,           0.0031472,           0.0031472
                  11,            0.091243,            0.079722,                   0,             0.32568,             0.30952,             0.27425,            0.076335,            0.088575,            0.099501,                   0,            0.068436,           0.0034365,           0.0034365
                  12,            0.087315,            0.066017,                   0,             0.27391,             0.42857,             0.30054,            0.083994,            0.086562,             0.13456,                   0,            0.065725,           0.0037248,           0.0037248
                  13,            0.087406,            0.087023,                   0,             0.30255,             0.47512,              0.3493,            0.094503,            0.084631,             0.14438,                   0,            0.063012,           0.0040121,           0.0040121
                  14,            0.088144,            0.082969,                   0,             0.22727,             0.61905,              0.3272,             0.11288,            0.082253,             0.16349,                   0,            0.060298,           0.0042984,           0.0042984
                  15,            0.097283,             0.10188,                   0,             0.26393,             0.64286,             0.33102,             0.10913,            0.089749,             0.16942,                   0,            0.057584,           0.0045837,           0.0045837
                  16,            0.088726,            0.086171,                   0,             0.28511,             0.64286,             0.35498,             0.13379,            0.091306,              0.1598,                   0,            0.054868,            0.004868,            0.004868
                  17,            0.090126,             0.08703,                   0,             0.28738,              0.7619,             0.40867,             0.13579,             0.08798,             0.14784,                   0,            0.052151,           0.0051513,           0.0051513
                  18,            0.082891,            0.060865,                   0,             0.15475,             0.45238,             0.12885,            0.037037,            0.099871,             0.13266,                   0,            0.049434,           0.0054337,           0.0054337
                  19,            0.094072,            0.080155,                   0,              0.1976,             0.33333,             0.21076,            0.056651,            0.083004,             0.10421,                   0,            0.046715,            0.005715,            0.005715
                  20,            0.086985,            0.088697,                   0,             0.27045,                 0.5,             0.28685,            0.093162,             0.08289,            0.099127,                   0,            0.043995,           0.0059954,           0.0059954
                  21,            0.080735,            0.075201,                   0,             0.25178,                 0.5,             0.28824,            0.090579,            0.074899,            0.091674,                   0,            0.041275,           0.0062748,           0.0062748
                  22,            0.073627,            0.076769,                   0,             0.34023,             0.52801,             0.36044,             0.10073,            0.083681,            0.094408,                   0,            0.038553,           0.0065532,           0.0065532
                  23,            0.076326,            0.068171,                   0,             0.31082,             0.69048,             0.44574,              0.2034,            0.072287,            0.086581,                   0,            0.035831,           0.0068306,           0.0068306
                  24,            0.073998,            0.068812,                   0,             0.25045,             0.66667,               0.416,             0.13965,            0.096093,            0.098869,                   0,            0.033107,            0.007107,            0.007107
                  25,            0.085805,            0.061818,                   0,              0.2297,             0.52381,             0.29899,            0.083482,            0.077625,             0.09678,                   0,            0.030382,           0.0073824,           0.0073824
                  26,            0.068887,            0.066123,                   0,             0.18743,             0.21429,             0.17318,            0.039096,            0.092386,            0.095491,                   0,            0.027657,           0.0076568,           0.0076568
                  27,            0.085611,            0.091861,                   0,             0.46449,             0.72291,             0.55249,             0.19859,            0.073677,            0.076679,                   0,             0.02493,           0.0079302,           0.0079302
                  28,            0.063658,            0.062833,                   0,             0.46449,             0.72291,             0.55249,             0.19859,            0.073677,            0.076679,                   0,            0.022203,           0.0082027,           0.0082027
                  29,            0.073195,             0.09371,                   0,             0.28115,             0.57143,             0.36343,             0.15048,            0.071647,            0.074951,                   0,            0.019474,           0.0084741,           0.0084741
                  30,            0.072863,            0.081974,                   0,             0.21814,             0.47619,             0.25976,            0.087599,            0.074879,            0.088309,                   0,            0.016745,           0.0087446,           0.0087446
                  31,            0.086459,            0.085969,                   0,            0.073345,             0.69048,            0.080561,            0.027168,             0.10074,            0.096045,                   0,            0.014014,           0.0090141,           0.0090141
                  32,            0.089403,            0.080305,                   0,            0.073345,             0.69048,            0.080561,            0.027168,             0.10074,            0.096045,                   0,            0.011283,           0.0092826,           0.0092826
                  33,            0.075438,             0.07512,                   0,             0.14862,              0.7619,             0.23817,            0.091349,            0.079687,            0.077323,                   0,           0.0094555,           0.0094555,           0.0094555
                  34,            0.074112,            0.068404,                   0,             0.20047,             0.45238,             0.17071,            0.070516,            0.091996,            0.071534,                   0,           0.0094555,           0.0094555,           0.0094555
                  35,            0.088293,            0.057727,                   0,             0.33393,             0.54762,             0.38599,             0.13904,            0.079705,            0.056345,                   0,            0.009439,            0.009439,            0.009439
                  36,            0.078148,            0.080721,                   0,             0.33393,             0.54762,             0.38599,             0.13904,            0.079705,            0.056345,                   0,           0.0094225,           0.0094225,           0.0094225
                  37,            0.073974,            0.077941,                   0,             0.41351,             0.59524,             0.48024,             0.19489,            0.070094,            0.058976,                   0,            0.009406,            0.009406,            0.009406
                  38,            0.071849,            0.071406,                   0,             0.30747,             0.71429,             0.42322,             0.16031,            0.081357,              0.0647,                   0,           0.0093895,           0.0093895,           0.0093895
                  39,            0.075307,            0.062305,                   0,             0.33402,             0.85714,             0.37927,             0.13438,            0.067397,            0.065951,                   0,            0.009373,            0.009373,            0.009373
                  40,            0.062961,            0.058107,                   0,             0.33402,             0.85714,             0.37927,             0.13438,            0.067397,            0.065951,                   0,           0.0093565,           0.0093565,           0.0093565
                  41,             0.06549,            0.067396,                   0,              0.6324,             0.71429,             0.66236,             0.20763,            0.064563,            0.069755,                   0,             0.00934,             0.00934,             0.00934
                  42,            0.066647,            0.088676,                   0,             0.15259,             0.69048,             0.16696,            0.051602,            0.077104,            0.079399,                   0,           0.0093235,           0.0093235,           0.0093235
                  43,            0.073525,            0.077483,                   0,             0.30943,             0.57143,             0.39638,             0.16295,            0.065997,            0.072269,                   0,            0.009307,            0.009307,            0.009307
                  44,            0.070195,            0.071145,                   0,             0.30943,             0.57143,             0.39638,             0.16295,            0.065997,            0.072269,                   0,           0.0092905,           0.0092905,           0.0092905
                  45,            0.063743,              0.0543,                   0,             0.25021,             0.69048,             0.31633,             0.12105,            0.066807,            0.072849,                   0,            0.009274,            0.009274,            0.009274
                  46,            0.071206,            0.068817,                   0,              0.3083,              0.7381,             0.40806,             0.13366,             0.06718,            0.072063,                   0,           0.0092575,           0.0092575,           0.0092575
                  47,            0.066946,            0.056791,                   0,             0.21408,              0.7381,             0.28287,            0.099186,            0.077499,            0.071998,                   0,            0.009241,            0.009241,            0.009241
                  48,            0.074671,            0.052856,                   0,             0.21408,              0.7381,             0.28287,            0.099186,            0.077499,            0.071998,                   0,           0.0092245,           0.0092245,           0.0092245
                  49,            0.063314,            0.053138,                   0,             0.34046,              0.7381,             0.43182,             0.18733,            0.062066,            0.066041,                   0,            0.009208,            0.009208,            0.009208
                  50,             0.05878,            0.064373,                   0,             0.61077,             0.69048,             0.58975,             0.27597,            0.065033,            0.063785,                   0,           0.0091915,           0.0091915,           0.0091915
                  51,            0.063522,            0.049424,                   0,             0.37528,             0.62941,             0.46889,             0.12414,            0.066004,            0.068001,                   0,            0.009175,            0.009175,            0.009175
                  52,             0.06232,            0.071624,                   0,             0.37528,             0.62941,             0.46889,             0.12414,            0.066004,            0.068001,                   0,           0.0091585,           0.0091585,           0.0091585
                  53,            0.058818,             0.06467,                   0,             0.48518,             0.71429,             0.60538,             0.21591,            0.057762,             0.06247,                   0,            0.009142,            0.009142,            0.009142
                  54,            0.055401,            0.057143,                   0,             0.62201,             0.71429,             0.70201,             0.30656,             0.06043,            0.066686,                   0,           0.0091255,           0.0091255,           0.0091255
                  55,            0.061695,            0.066538,                   0,             0.44327,             0.66667,             0.53745,             0.22746,            0.056374,            0.064236,                   0,            0.009109,            0.009109,            0.009109
                  56,            0.055401,            0.067693,                   0,             0.44327,             0.66667,             0.53745,             0.22746,            0.056374,            0.064236,                   0,           0.0090925,           0.0090925,           0.0090925
                  57,            0.052619,            0.063643,                   0,             0.67997,             0.69048,             0.81564,             0.41697,            0.046729,            0.061477,                   0,            0.009076,            0.009076,            0.009076
